k, u, y
228, 8.000000, 2.633778
229, 8.000000, 2.632462
230, 8.000000, 2.637724
231, 8.000000, 2.632133
232, 8.000000, 2.633120
233, 8.000000, 2.632462
234, 8.000000, 2.630818
235, 8.000000, 2.631476
236, 8.000000, 2.630818
237, 8.000000, 2.626543
238, 8.000000, 2.627201
239, 8.000000, 2.628187
240, 8.000000, 2.622925
241, 8.000000, 2.626214
242, 8.000000, 2.626214
243, 8.000000, 2.619966
244, 8.000000, 2.617335
245, 8.000000, 2.613389
246, 8.000000, 2.617006
247, 8.000000, 2.615362
248, 8.000000, 2.617993
249, 8.000000, 2.615691
250, 8.000000, 2.614046
251, 8.000000, 2.608456
252, 8.000000, 2.606812
253, 8.000000, 2.607469
254, 8.000000, 2.610429
255, 8.000000, 2.609114
256, 8.000000, 2.613718
257, 8.000000, 2.607798
258, 8.000000, 2.607798
259, 8.000000, 2.605167
260, 8.000000, 2.611416
261, 8.000000, 2.608127
262, 8.000000, 2.597275
263, 8.000000, 2.600563
264, 8.000000, 2.592013
265, 8.000000, 2.603194
266, 8.000000, 2.602536
267, 8.000000, 2.605167
268, 8.000000, 2.602208
269, 8.000000, 2.585765
270, 8.000000, 2.593657
271, 8.000000, 2.596617
272, 8.000000, 2.596288
273, 8.000000, 2.590698
274, 8.000000, 2.584450
275, 8.000000, 2.593329
276, 8.000000, 2.590698
277, 8.000000, 2.587080
278, 8.000000, 2.587738
279, 8.000000, 2.585107
280, 8.000000, 2.585765
281, 8.000000, 2.595959
282, 8.000000, 2.583792
283, 8.000000, 2.583792
284, 8.000000, 2.583792
285, 8.000000, 2.580832
286, 8.000000, 2.581161
287, 8.000000, 2.579188
288, 8.000000, 2.579188
289, 8.000000, 2.579846
290, 8.000000, 2.577872
291, 8.000000, 2.574255
292, 8.000000, 2.574584
293, 8.000000, 2.578859
294, 8.000000, 2.578201
295, 8.000000, 2.575571
296, 8.000000, 2.573926
297, 8.000000, 2.567020
298, 8.000000, 2.570967
299, 8.000000, 2.570309
300, 8.000000, 2.571624
301, 8.000000, 2.573269
302, 8.000000, 2.567678
303, 8.000000, 2.566363
304, 8.000000, 2.567020
305, 8.000000, 2.567349
306, 8.000000, 2.559786
307, 8.000000, 2.570967
308, 8.000000, 2.563074
309, 8.000000, 2.563732
310, 8.000000, 2.560772
311, 8.000000, 2.562088
312, 8.000000, 2.562745
313, 8.000000, 2.560114
314, 8.000000, 2.561430
315, 8.000000, 2.557812
316, 8.000000, 2.558141
317, 8.000000, 2.555839
318, 8.000000, 2.558470
319, 8.000000, 2.555182
320, 8.000000, 2.554853
321, 8.000000, 2.553208
322, 8.000000, 2.554195
323, 8.000000, 2.550578
324, 8.000000, 2.550578
325, 8.000000, 2.549920
326, 8.000000, 2.550578
327, 8.000000, 2.550249
328, 8.000000, 2.543672
329, 8.000000, 2.545974
330, 8.000000, 2.544329
331, 8.000000, 2.543343
332, 8.000000, 2.544329
333, 8.000000, 2.541699
334, 8.000000, 2.541370
335, 8.000000, 2.542027
336, 8.000000, 2.540383
337, 8.000000, 2.543014
338, 8.000000, 2.537095
339, 8.000000, 2.536766
340, 8.000000, 2.541041
341, 8.000000, 2.535122
342, 8.000000, 2.539397
343, 8.000000, 2.536766
344, 8.000000, 2.531504
345, 8.000000, 2.535122
346, 8.000000, 2.534135
347, 8.000000, 2.533806
348, 8.000000, 2.533148
349, 8.000000, 2.534135
350, 8.000000, 2.533148
351, 8.000000, 2.528216
352, 8.000000, 2.528544
353, 8.000000, 2.529202
354, 8.000000, 2.532491
355, 8.000000, 2.533148
356, 8.000000, 2.527887
357, 8.000000, 2.531504
358, 8.000000, 2.525914
359, 8.000000, 2.523612
360, 8.000000, 2.523612
361, 8.000000, 2.520323
362, 8.000000, 2.520323
363, 8.000000, 2.525256
364, 8.000000, 2.524598
365, 8.000000, 2.520652
366, 8.000000, 2.521967
367, 8.000000, 2.521967
368, 8.000000, 2.521967
369, 8.000000, 2.519337
370, 8.000000, 2.515719
371, 8.000000, 2.513746
372, 8.000000, 2.518021
373, 8.000000, 2.513746
374, 8.000000, 2.514075
375, 8.000000, 2.514733
376, 8.000000, 2.517035
377, 8.000000, 2.513088
378, 8.000000, 2.512431
379, 8.000000, 2.510129
380, 8.000000, 2.508813
381, 8.000000, 2.510786
382, 8.000000, 2.509142
383, 8.000000, 2.507827
384, 8.000000, 2.511773
385, 8.000000, 2.508813
386, 8.000000, 2.503223
387, 8.000000, 2.505196
388, 8.000000, 2.500921
389, 8.000000, 2.504538
390, 8.000000, 2.504538
391, 8.000000, 2.498619
392, 8.000000, 2.505196
393, 8.000000, 2.497632
394, 8.000000, 2.501907
395, 8.000000, 2.499276
396, 8.000000, 2.497961
397, 8.000000, 2.496646
398, 8.000000, 2.498290
399, 8.000000, 2.500592
400, 8.000000, 2.498948
401, 8.000000, 2.502236
402, 8.000000, 2.496317
403, 8.000000, 2.495001
404, 8.000000, 2.494015
405, 8.000000, 2.497303
406, 8.000000, 2.498619
407, 8.000000, 2.495988
408, 8.000000, 2.491055
409, 8.000000, 2.491384
410, 8.000000, 2.493028
411, 8.000000, 2.491055
412, 8.000000, 2.494344
413, 8.000000, 2.489082
414, 8.000000, 2.490726
415, 8.000000, 2.488753
416, 8.000000, 2.489082
417, 8.000000, 2.488095
418, 8.000000, 2.486780
419, 8.000000, 2.486122
420, 8.000000, 2.484807
421, 8.000000, 2.485793
422, 8.000000, 2.480203
423, 8.000000, 2.481847
424, 8.000000, 2.484807
425, 8.000000, 2.484149
426, 8.000000, 2.484149
427, 8.000000, 2.480532
428, 8.000000, 2.482834
429, 8.000000, 2.480861
430, 8.000000, 2.480861
431, 8.000000, 2.479874
432, 8.000000, 2.480861
433, 8.000000, 2.476914
434, 8.000000, 2.476914
435, 8.000000, 2.478230
436, 8.000000, 2.476914
437, 8.000000, 2.473297
438, 8.000000, 2.472968
439, 8.000000, 2.470009
440, 8.000000, 2.474284
441, 8.000000, 2.471324
442, 8.000000, 2.472310
443, 8.000000, 2.472639
444, 8.000000, 2.476257
445, 8.000000, 2.471653
446, 8.000000, 2.470337
447, 8.000000, 2.470009
448, 8.000000, 2.470666
449, 8.000000, 2.470666
450, 8.000000, 2.470337
451, 8.000000, 2.469022
452, 8.000000, 2.468035
453, 8.000000, 2.468693
454, 8.000000, 2.466062
455, 8.000000, 2.468364
456, 8.000000, 2.467707
457, 8.000000, 2.467378
458, 8.000000, 2.462774
459, 8.000000, 2.467049
460, 8.000000, 2.466720
461, 8.000000, 2.463103
462, 8.000000, 2.464089
463, 8.000000, 2.464089
464, 8.000000, 2.457841
465, 8.000000, 2.466062
466, 8.000000, 2.460472
467, 8.000000, 2.458828
468, 8.000000, 2.458170
469, 8.000000, 2.455539
470, 8.000000, 2.459485
471, 8.000000, 2.460801
472, 8.000000, 2.459156
473, 8.000000, 2.457512
474, 8.000000, 2.455868
475, 8.000000, 2.457512
476, 8.000000, 2.457512
477, 8.000000, 2.454881
478, 8.000000, 2.454881
479, 8.000000, 2.455539
480, 8.000000, 2.455210
481, 8.000000, 2.454552
482, 8.000000, 2.456854
483, 8.000000, 2.456197
484, 8.000000, 2.453566
485, 8.000000, 2.453566
486, 8.000000, 2.451264
487, 8.000000, 2.453237
488, 8.000000, 2.449291
489, 8.000000, 2.446660
490, 8.000000, 2.448962
491, 8.000000, 2.451264
492, 8.000000, 2.448304
493, 8.000000, 2.446989
494, 8.000000, 2.447318
495, 8.000000, 2.439096
496, 8.000000, 2.448633
497, 8.000000, 2.458499
498, 8.000000, 2.440083
499, 8.000000, 2.448633
